output,X1,X2,X3,X4
0.122226044,0.25,0.25,0.5,0.2
0.682182553,1,0,0.25,0.2
0,0.25,0.5,0.5,0
0.014405118,1,0.5,0.5,0.6
0.320999523,0,0.5,0.75,0.6
1.863124681,0,1,0.75,0.4
2.059200386,0.75,0.75,1,0.4
NA,0.75,0,0.25,0.6
3.039475477,0.75,0.75,0,0
0,0,0.75,0.75,0.6
1.943643815,1,1,0.25,0
0.606582383,0.75,1,1,0
1.140849428,0,0.75,0.25,0.6
0.555400887,0.75,0,0.5,0.6
1.516690478,0,1,0.25,0.2
2.553272923,0,0.5,0.75,0.6
0.722722847,0.5,0.5,0,0.4
1.271889694,0,0.25,0.75,0.2
0.232304046,0,0,0,0
0.657350352,0.75,0,0.5,0.4
1.342984174,1,1,0.5,0
0.699252568,0.5,0.75,0.5,0.2
2.504171517,0.75,1,0,0.6
0.982974645,0.75,0.25,0,0.6
0.517651641,0,0.75,0.25,0.4
0.875501959,0.75,1,0,0.8
0.539335992,0,1,0.5,0.8
2.648562218,0.25,0.75,0,0.8
0.566199969,0.75,0.5,1,0.6
0.052616709,0.5,1,1,0.8
1.401396701,1,0,0,0
0.359294876,0.5,0,0,0
0.361400953,0.75,0.5,1,0.6
0.06995581,1,0.5,0.25,0.8
0.104173714,0,1,0.25,0
0.101141011,0.25,1,0.75,0.8
0.802411886,1,0,0.5,0
5.418855378,0.25,1,0,0.6
0.143183962,0.25,1,1,0.4
0.262645842,0.25,0.25,0.25,0
0.401422868,0.5,0,0.75,0
0,0,0.25,0.25,0.4
0.0211464,0.5,0.25,1,0.2
0.380046448,0.75,0,0.25,0.4
0.19352683,0.5,0,0.25,0.8
0.004306001,0.25,0.75,0.75,0.6
1.77028718,0.75,0.75,0.25,0.6
0.370083113,0,0.75,0.25,0.6
0,0.5,0.5,0.5,0.4
4.774096152,1,1,0.5,0.8
1.951038273,0.25,1,0.5,0.6
1.605505768,0.25,0.75,1,0.8
0.874049043,1,0.5,0.25,0.4
0.890741547,0.75,0.25,0,0.6
NA,1,1,0.25,0.4
4.848363853,0.75,1,0.75,0.8
0.225274794,0.25,0.5,0.5,0.2
0,0.75,0.25,1,0.4
2.256091405,0,1,0,0.8
3.880351701,0.25,0.75,0.75,0.8
0.894980873,1,0.5,0,0.6
1.846092205,1,1,0.75,0.2
5.13315257,0.75,1,0,0.2
0.962965258,0.75,0.75,0.75,0.6
1.652312978,0.75,0.25,0.5,0.2
0.358792775,0.75,0.75,0.5,0.2
0,0,0,0,0.2
9.545912874,0.5,1,0.25,0.6
0.855232963,0.5,0.5,0,0.4
1.796717689,0.75,0.75,0.75,0
0.383451233,0.5,0.5,1,0.8
0.303226778,0.75,1,0.25,0.8
0.360402094,1,0,1,0.4
0.414087117,1,0.25,1,0.2
0,0,0,0.25,0.6
2.251077593,0.75,1,0.25,0.6
4.049796102,1,0.25,0,0.2
0.050872244,1,0.25,0.75,0.4
0.670346219,0,0.5,0,0.6
0.216208893,0.5,0.75,0.5,0.2
0.442499965,0,0,0.5,0.2
1.648088628,0,0.75,0.75,0.4
1.241952562,0.25,0.5,0,0.2
4.033947202,1,0.75,0.5,0.2
0.466178817,1,1,0.75,0.8
2.675568946,0.25,1,0.5,0
1.263617755,0.25,0.5,0,0.8
2.201603307,0.75,0.75,1,0
0.324689591,0.5,0,1,0.2
1.449683604,0.75,0.25,0.25,0.4
0.775024311,0,1,0.75,0
0.580290099,0.5,0,0,0.4
0,0.5,0.25,1,0.8
